ocreval Accuracy Report Version 7.0
-----------------------------------
   30591   Characters
    9175   Errors
   70.01%  Accuracy

       0   Reject Characters
       0   Suspect Markers
       0   False Marks
    0.00%  Characters Marked
   70.01%  Accuracy After Correction

     Ins    Subst      Del   Errors
       6        0   {rer<\n>}-{.) il }
       6        0   {si}-{ SI}
       6        0   {t<\n>P}-{ il l’}
       6        0   {w}-{u’}
       6        0   {}-{ a }
       6        0   {}-{ ét}
       6        0   {}-{. a.) }
       6        0   {}-{.) il }
       6        0   {}-{a}
       6        0   {}-{ille a}
       5        0   {.)d}-{) il }
       5        0   {294<\n>A}-{Â}
       5        0   {4c}-{ il é}
       5        0   {<\n>660<\n>}-{ }
       5        0   {<\n>ANI<\n>}-{ }
       5        0   {<\n>CMUS}-{) }
       5        0   {<\n>V}-{ à l’}
       5        0   {<\n>t}-{ 290 }
       5        0   {<\n>}-{ f.) }
       5        0   {<\n>}-{ ok, }
       5        0   {<\n>}-{ r.) }
       5        0   {ANKKW}-{}
       5        0   {L}-{ il l}
       5        0   {T<\n>CAN}-{}
       5        0   {T}-{342<\n>I}
       5        0   {d}-{v}
       5        0   {e}-{c}
       5        0   {im.)<\n>}-{}
       5        0   {m}-{ il n}
       5        0   {o}-{ô}
       5        0   {}-{ a l’}
       4        0   { He<\n>}-{<\n>«}
       4        0   { d<\n>Y}-{<\n>«YÂ}
       4        0   {!<\n>}-{) il}
       4        0   {(e Y}-{«YÂ}
       4        0   {(}-{« }
       4        0   {,t}-{ il }
       4        0   {,}-{ â}
       4        0   {,}-{é à }
       4        0   {-<\n>Se}-{sé}
       4        0   {-<\n>r,}-{ré, }
       4        0   {-<\n>}-{ }
       4        0   {.)}-{) }
       4        0   {.,}-{, }
       4        0   {.<\n>}-{ }
       4        0   {.<\n>}-{, }
       4        0   {.<\n>}-{-}
       4        0   {.a}-{ il }
       4        0   {.d,}-{ il }
       4        0   {.d}-{ i}
       4        0   {0!}-{ i}
       4        0   {00}-{v. a}
       4        0   {246}-{ ide}
       4        0   {292<\n>}-{Â}
       4        0   {293<\n>}-{}
       4        0   {2}-{ il }
       4        0   {342<\n>}-{}
       4        0   {362<\n>}-{KÂ}
       4        0   {4}-{ i}
       4        0   {616<\n>}-{}
       4        0   {<\n>-w.}-{ v. }
       4        0   {<\n>J}-{ j}
       4        0   {<\n>P}-{l l’}
       4        0   {<\n>c}-{ ç}
       4        0   {<\n>d}-{ il }
       4        0   {<\n>d}-{ v}
       4        0   {<\n>i}-{ â}
       4        0   {<\n>l}-{ t}
       4        0   {<\n>l}-{t}
       4        0   {<\n>w}-{wâ}
       4        0   {<\n>}-{ i}
       4        0   {<\n>}-{ â}
       4        0   {<\n>}-{l }
       4        0   {E}-{ il }
       4        0   {E}-{«}
       4        0   {K}-{ }
       4        0   {K}-{) s’}
       4        0   {L :<\n>}-{}
       4        0   {Lvew}-{IMEW}
       4        0   {M<\n>}-{ }
       4        0   {M}-{«WÂP}
       4        0   {O<\n>}-{ ou }
       4        0   {OK}-{ok}
       4        0   {S}-{ à s}
       4        0   {UN}-{ un }
       4        0   {Ws<\n>t}-{«}
       4        0   {W}-{ i}
       4        0   {c}-{ e}
       4        0   {dO}-{ il }
       4        0   {dh<\n>}-{ il }
       4        0   {e<\n>}-{é }
       4        0   {e}-{ l’é}
       4        0   {e}-{ê}
       4        0   {f.)<\n>}-{}
       4        0   {itS}-{t s’}
       4        0   {ll}-{tte }
       4        0   {l}-{tâ}
       4        0   {o81<\n>}-{}
       4        0   {o<\n>}-{ il }
       4        0   {r-<\n>K}-{TAK-}
       4        0   {rew}-{ÂTEW}
       4        0   {rraw}-{TTAW}
       4        0   {rrr}-{ TTI}
       4        0   {r}-{T}
       4        0   {s<\n>.d}-{ d’}
       4        0   {s<\n>}-{ }
       4        0   {si.<\n>}-{ SI}
       4        0   {si<\n>}-{ SI-}
       4        0   {t<\n>}-{ il }
       4        0   {u.}-{ il }
       4        0   {uvew}-{HYEW}
       4        0   {u}-{ il }
       4        0   {va}-{’t’â}
       4        0   {vew}-{ÂYEW}
       4        0   {w<\n>}-{u }
       4        0   {w}-{u}
       4        0   {x}-{}
       4        0   {}-{ v}
       4        0   {}-{ à}
       4        0   {}-{ ç}
       4        0   {}-{ ê}
       4        0   {}-{) }
       4        0   {}-{471<\n>}
       4        0   {}-{581<\n>}
       4        0   {}-{636<\n>}
       4        0   {}-{MA<\n>A}
       4        0   {}-{e }
       4        0   {}-{st e}
       4        0   {}-{é à }
       4        0   {}-{ê }
       4        0   {}-{ô}
       4        0   {}-{œ}
       3        0   { L<\n>}-{<\n>«}
       3        0   { RE}-{.}
       3        0   { ft}-{}
